,Полученное,Исходное
0,-7.593576908111572,-4.1000000000000005
1,-4.037800312042236,-3.2
2,10.012470245361328,9.22
3,0.8173683881759644,0.78
4,0.19209985435009003,0.19
5,2.9578185081481934,2.84
6,10.035317420959473,9.33
7,6.857115268707275,6.61
8,7.874286651611328,7.399999999999999
9,-0.3994169533252716,-0.6300000000000001
10,9.894116401672363,9.0
11,10.865568161010742,10.01
12,-8.595965385437012,-4.140000000000001
13,2.5337398052215576,2.49
14,-4.523209095001221,-3.41
15,6.076206684112549,5.779999999999999
16,9.091036796569824,8.11
17,0.013292461633682251,0.1999999999999999
18,10.851080894470215,9.91
19,5.432721138000488,5.19
20,4.12522029876709,3.86
21,4.519289493560791,4.37
22,11.872365951538086,10.13
23,-2.502645492553711,-2.4400000000000004
24,-0.47741177678108215,-0.64
25,7.094429016113281,6.82
26,-3.719977617263794,-3.05
27,2.4230384826660156,2.39
28,-0.2946528494358063,-1.09
29,4.537477970123291,4.37
30,2.907184600830078,2.79
31,9.732888221740723,8.959999999999999
32,1.1316874027252197,1.1
33,1.0361976623535156,1.03
34,5.364573955535889,4.97
35,-0.47218623757362366,-0.6
36,8.461548805236816,7.87
37,-5.260015964508057,-3.69
38,7.449644088745117,7.279999999999999
39,-0.6585428714752197,-1.71
40,1.1547423601150513,1.13
41,-0.34202489256858826,-0.89
42,10.481710433959961,9.62
43,6.607690334320068,6.3
44,1.2716792821884155,1.25
45,-0.47346189618110657,-1.5799999999999998
46,2.214557409286499,2.14
47,7.924504280090332,7.61
48,10.838054656982422,9.99
49,9.419364929199219,8.75
50,-4.967971324920654,-3.53
51,-0.2955220639705658,-1.16
52,9.4417142868042,8.540000000000001
53,3.3924102783203125,3.33
54,5.097247123718262,4.98
55,8.75133228302002,7.9
56,7.312532901763916,6.88
57,-4.619293212890625,-3.26
58,-0.32984498143196106,-1.03
59,-10.774616241455078,-4.58
60,0.9325826168060303,0.93
61,9.410744667053223,8.26
62,-5.229567050933838,-3.51
63,-0.7067469358444214,-1.67
64,0.49171000719070435,0.48
65,4.884343147277832,4.66
66,-3.877937078475952,-2.99
67,4.738742351531982,4.57
68,-3.685216188430786,-2.96
69,9.841448783874512,8.99
70,1.1795947551727295,1.16
71,-3.127284288406372,-2.62
72,-0.31780532002449036,-1.36
73,6.679116725921631,6.45
74,5.774378299713135,5.36
75,-8.65112018585205,-4.16
76,-7.42970085144043,-4.08
77,7.976332664489746,7.69
78,10.25489616394043,9.55
79,1.8899730443954468,1.85
80,9.99876880645752,9.12
81,7.951879024505615,7.649999999999999
82,-3.4618871212005615,-2.9600000000000004
83,-1.8431044816970825,-1.94
84,-2.7293317317962646,-2.34
85,8.80249309539795,8.02
86,-7.480323791503906,-4.19
87,6.755642890930176,6.53
88,0.470206618309021,0.48
89,4.192309856414795,3.92
90,-7.218948841094971,-3.91
91,4.228266716003418,4.15
92,-0.4134043753147125,-0.3899999999999999
93,-3.20605206489563,-2.7
94,8.663100242614746,7.9
